season,team,player_id,player_name,position,position_group,team_games,defensive_games,defensive_game_appearance_rate,defensive_impact,tackles,solo_tackles,tackles_for_loss,sacks,qb_hurries,passes_defended,interceptions,fumble_recoveries
2020,Akron,4383088,T.J. DeShields,QB,,6,1,0.16666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4701278,Tony Grimes Jr.,WR,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4701276,Tyson Durant,DB,db,6,1,0.16666666666666666,-1.0347791924550664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4427328,Xavior Gray,OL,,6,1,0.16666666666666666,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4383089,Zach DiLauro,LB,lb,6,1,0.16666666666666666,-0.9719992207262818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Akron,4568336,Zach Gibson,QB,,6,2,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4361090,Ale Kaho,LB,lb,13,2,0.15384615384615385,-0.8858431131723373,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4040964,Ben Davis,LB,lb,13,2,0.15384615384615385,-0.8858431131723373,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4567101,Brandon Turnage,CB,db,13,1,0.07692307692307693,-0.920332283331833,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,Alabama,4567126,Braylen Ingraham,DL,dl_edge,13,1,0.07692307692307693,-1.0854591018798279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4692025,Brian Branch,DB,db,13,9,0.6923076923076923,1.5340444884611104,23.0,17.0,0.5,0.0,1.0,7.0,2.0,0.0
2020,Alabama,4241474,Brian Robinson Jr.,RB,,13,2,0.15384615384615385,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4685720,Bryce Young,QB,,13,4,0.3076923076923077,,7.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4567123,Byron Young,DL,dl_edge,13,8,0.6153846153846154,0.17017542706479039,15.0,5.0,4.0,0.5,0.0,0.0,0.0,1.0
2020,Alabama,4692042,Chase Allen,PK,,13,2,0.15384615384615385,,8.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0
2020,Alabama,4372030,Christian Barmore,DL,dl_edge,13,10,0.7692307692307693,1.9661777659457529,34.0,20.0,7.5,6.0,5.0,3.0,0.0,0.0
2020,Alabama,4567099,Christian Harris,LB,lb,13,12,0.9230769230769231,1.8069186928823215,73.0,48.0,7.0,4.5,6.0,2.0,1.0,0.0
2020,Alabama,4241446,Christopher Allen,LB,lb,13,9,0.6923076923076923,1.0656613422558427,30.0,18.0,9.0,4.0,3.0,0.0,0.0,1.0
2020,Alabama,4241484,Daniel Wright,DB,db,13,12,0.9230769230769231,1.3425350876111448,57.0,42.0,1.0,0.0,1.0,2.0,2.0,0.0
2020,Alabama,4567111,DeMarcco Hellams,DB,db,13,11,0.8461538461538461,0.6318557301724435,59.0,35.0,1.5,1.0,0.0,3.0,0.0,0.0
2020,Alabama,4241478,DeVonta Smith,WR,,13,3,0.23076923076923078,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Alabama,4567140,DJ Dale,DL,dl_edge,13,8,0.6153846153846154,-0.22993303543590007,20.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0
2020,Alabama,4685721,Drew Sanders,LB,lb,13,7,0.5384615384615384,-0.6524021669360344,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
2020,Alabama,4241471,Dylan Moses,LB,lb,13,11,0.8461538461538461,1.4504270945701487,73.0,40.0,6.0,1.0,0.0,3.0,1.0,0.0
2020,Alabama,4372017,Jalyn Armour-Davis,DB,db,13,1,0.07692307692307693,-1.0347791924550664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4692046,Jamil Burroughs,DL,dl_edge,13,2,0.15384615384615385,-0.9011696801831838,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4372025,Jaylen Moody,LB,lb,13,6,0.46153846153846156,-0.5742653924684374,12.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0
2020,Alabama,4372016,Jaylen Waddle,WR,,13,1,0.07692307692307693,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4567096,John Metchie,WR,,13,1,0.07692307692307693,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4567098,Jordan Battle,DB,db,13,11,0.8461538461538461,1.299039935006344,64.0,41.0,2.5,0.0,0.0,4.0,1.0,0.0
2020,Alabama,4372020,Josh Jobe,DB,db,13,11,0.8461538461538461,1.0761635357184307,47.0,34.0,2.5,2.0,1.0,11.0,0.0,0.0
2020,Alabama,3925353,Joshua McMillon,LB,lb,13,3,0.23076923076923078,-0.4915982493481104,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4567138,Justin Eboigbe,DL,dl_edge,13,11,0.8461538461538461,0.24645452338004478,18.0,9.0,0.5,0.0,3.0,0.0,1.0,0.0
2020,Alabama,4241472,Kendall Randolph,OL,,13,1,0.07692307692307693,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4241473,LaBryan Ray,DL,dl_edge,13,5,0.38461538461538464,0.403956954730267,12.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0
2020,Alabama,4035624,Landon Dickerson,OL,,13,1,0.07692307692307693,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4241464,Mac Jones,QB,,13,2,0.15384615384615385,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4692024,Malachi Moore,DB,db,13,10,0.7692307692307693,1.8777512190937655,43.0,27.0,4.0,0.0,2.0,6.0,3.0,2.0
2020,Alabama,4567109,Marcus Banks,S,db,13,1,0.07692307692307693,-1.0347791924550664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4241457,Najee Harris,RB,,13,4,0.3076923076923077,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4372012,Patrick Surtain II,DB,db,13,12,0.9230769230769231,1.5290592290827587,35.0,20.0,3.5,0.0,2.0,11.0,1.0,1.0
2020,Alabama,4241468,Phidarian Mathis,DL,dl_edge,13,9,0.6923076923076923,1.0867062226743445,29.0,15.0,4.5,1.0,3.0,3.0,0.0,0.0
2020,Alabama,4685722,Ronald Williams Jr.,CB,db,13,1,0.07692307692307693,-1.0347791924550664,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4685723,Roydell Williams,RB,,13,1,0.07692307692307693,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4567115,Shane Lee,LB,lb,13,1,0.07692307692307693,-0.9719992207262818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4360115,Slade Bolden,WR,,13,2,0.15384615384615385,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4360127,Stephon Wynn Jr.,DT,dl_edge,13,1,0.07692307692307693,-1.0854591018798279,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Alabama,4241455,Thomas Fletcher,LS,,13,1,0.07692307692307693,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Alabama,4692033,Tim Smith,DL,dl_edge,13,7,0.5384615384615384,-0.07941788819049433,11.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0
