portal_index,season,player_name,normalized_player_name,origin,destination,destination_team_id,destination_team_name,destination_match_status,position,portal_position_group,position_semantics,transfer_date,cutoff_status,in_model_relevant_population,defensive_candidate,identity_join_method,identity_status,experience_status,impact_status,prior_position,prior_position_group,prior_player_id,prior_team_games,prior_defensive_games,prior_defensive_experience,prior_defensive_impact,prior_stats
6409,2023,Travion Brown,travion brown,Washington State,Arizona State,9,Arizona State,exact_normalized_name,LB,lb,defensive,2022-12-02,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,LB,lb,4426796,13,11,0.8461538461538461,0.85943537062831,"{""fumble_recoveries"": 2.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 1.5, ""solo_tackles"": 25.0, ""tackles"": 49.0, ""tackles_for_loss"": 5.0}"
6410,2023,Ryan Sanborn,ryan sanborn,Stanford,Texas,251,Texas,exact_normalized_name,P,,non_defensive,2022-11-30,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6411,2023,Alec Bank,alec bank,Harvard,Stanford,24,Stanford,exact_normalized_name,OT,,non_defensive,2022-11-21,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6412,2023,Tyler Martin,tyler martin,Arizona,Massachusetts,113,Massachusetts,exact_normalized_name,LB,lb,defensive,2022-12-05,on_or_before_cutoff,True,True,normalized_name_source_team,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,legitimate_zero_defensive_participation,LB,lb,4685453,1,0,0.0,0.0,{}
6413,2023,Caden Davis,caden davis,Texas A&M,Ole Miss,145,Ole Miss,exact_normalized_name,K,,non_defensive,2022-11-28,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6414,2023,Jyaire Stevens,jyaire stevens,Lafayette,Buffalo,2084,Buffalo,exact_normalized_name,EDGE,dl_edge,defensive,2022-12-08,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DE,dl_edge,4571833,11,1,0.09090909090909091,-0.29337486716859473,"{""fumble_recoveries"": 2.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 2.0, ""tackles"": 6.0, ""tackles_for_loss"": 1.5}"
6415,2023,Peter Kikwata,peter kikwata,Old Dominion,Georgia State,2247,Georgia State,exact_normalized_name,WR,,non_defensive,2023-04-17,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6416,2023,Henry Bryant,henry bryant,Louisville,Georgia State,2247,Georgia State,exact_normalized_name,DL,dl_edge,defensive,2022-12-05,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,DT,dl_edge,4429325,13,1,0.07692307692307693,-0.8641827301242463,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 1.0, ""tackles"": 1.0, ""tackles_for_loss"": 0.0}"
6417,2023,Alejandro Mata,alejandro mata,Jackson State,Colorado,38,Colorado,exact_normalized_name,K,,non_defensive,2022-12-20,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
6418,2023,Syrus Dumas,syrus dumas,New Mexico State,UTSA,2636,UTSA,exact_normalized_name,CB,db,defensive,2023-04-21,on_or_before_cutoff,True,True,normalized_name_source_team,resolved,resolved,resolved,CB,db,4880104,13,13,1.0,1.3587580909194477,"{""fumble_recoveries"": 3.0, ""interceptions"": 2.0, ""passes_defended"": 3.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 34.0, ""tackles"": 43.0, ""tackles_for_loss"": 5.0}"
6419,2023,Cole Becker,cole becker,Colorado,Utah,254,Utah,exact_normalized_name,K,,non_defensive,2023-01-03,on_or_before_cutoff,True,False,none,non_defensive_not_applicable,non_defensive_not_applicable,non_defensive_not_applicable,,,,,,,,{}
