period,season,pairing,margin_band,site_control,overall_volume_control,n_games,mean_plays_diff,mean_plays_total,more_plays_rate,mean_play_residual,mean_rank_signal_location_shift,quality_slope,quality_spearman,next_margin_slope,next_margin_spearman
training_2004_2017,2005,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,21,6.333333333333333,135.1904761904762,0.6190476190476191,-0.026160691555058613,0.13160797018293743,0.004967059172677128,0.0,-2.2582831005610395,-0.19044532938556952
training_2004_2017,2006,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,163,-1.969325153374233,128.73006134969324,0.4171779141104294,-0.14841705350903306,-0.029387953955977666,-0.017691833072114038,-0.0512980022528663,0.24936713671472957,0.013735135215832247
training_2004_2017,2006,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,84,-1.6071428571428572,127.41666666666667,0.4642857142857143,0.019994338190119056,-0.04260059228211148,-0.020498648417713,-0.09922141562636051,-4.220936699135847,-0.1535516695884612
training_2004_2017,2006,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,205,-0.6048780487804878,130.55609756097562,0.45365853658536587,-0.05403081141562995,0.020703010272861457,0.0066693418043389675,0.04164591776541089,2.803248589067101,0.12555331180108112
training_2004_2017,2006,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,129,1.6589147286821706,126.83720930232558,0.5271317829457365,-0.05957837846012362,0.040380748136059776,0.026945967950954577,0.12280316805016474,-2.214331328216339,-0.05701489624273304
training_2004_2017,2006,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,43,-7.209302325581396,122.97674418604652,0.27906976744186046,-0.10317574680621386,-0.06313698974657807,-0.013873710605849413,-0.126094835397161,-0.8925222731286909,-0.05053824971869499
training_2004_2017,2006,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,86,7.732558139534884,123.24418604651163,0.7093023255813954,0.1271407670675024,0.0669712495300551,0.006516179377285605,0.01616113967639983,-3.792916135255405,-0.11019000662552639
training_2004_2017,2006,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,6,-4.166666666666667,126.5,0.3333333333333333,-0.28859144188648517,0.0844119432810249,0.06830271989325547,0.4285714285714286,-25.289470845934783,-0.7142857142857143
training_2004_2017,2006,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,1,0.0,134.0,0.0,-0.040451923689631575,0.1428697969206154,,,,
training_2004_2017,2006,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,11,-7.181818181818182,125.54545454545455,0.36363636363636365,-0.4805422404678641,0.10299709818925878,-0.03211285814199054,0.045454545454545456,-0.17992015115661397,-0.05454545454545456
training_2004_2017,2006,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,18,7.888888888888889,124.0,0.7777777777777778,0.3868125004511504,0.12314445037290153,-0.06652351831507025,-0.17853457172342618,11.847950601845902,0.2591636896738362
training_2004_2017,2006,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,41,8.829268292682928,123.1219512195122,0.7317073170731707,0.13761435600385374,0.14746619835890354,0.032871101983089165,0.04965156794425087,-6.30790450601839,-0.3356716741029145
training_2004_2017,2007,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,173,-1.2254335260115607,147.0057803468208,0.4393063583815029,-0.10945107167922861,-0.024607887117520162,0.021318319620857056,0.07496733484178575,5.571322593675843,0.21200150365650028
training_2004_2017,2007,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,76,-4.592105263157895,144.6184210526316,0.3684210526315789,-0.22448081085861415,-0.044554420524634444,0.0233636758848091,0.030840738209159262,3.66705302933835,0.07173477805425096
training_2004_2017,2007,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,202,-0.3564356435643564,144.79207920792078,0.504950495049505,-0.022478207543129375,0.01997683386857743,0.02742994711481236,0.13754531557108537,1.4666028945460778,0.0701780384206013
training_2004_2017,2007,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,133,4.676691729323308,141.5187969924812,0.5939849624060151,0.13134983587453655,0.037701767789589696,0.0024655548717300766,0.058758116924520896,2.320055584983591,0.10800989915798037
training_2004_2017,2007,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,39,-6.282051282051282,140.5897435897436,0.28205128205128205,-0.041602725947262366,-0.0647332897250966,0.03169906445061749,0.158502024291498,1.855571018908374,0.02642636727469742
training_2004_2017,2007,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,86,8.709302325581396,141.22093023255815,0.686046511627907,0.12581627627446829,0.06034450011177052,-0.046031607979098194,-0.15484692674182746,-0.6707670767156627,-0.036083471885423636
training_2004_2017,2007,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,6,1.1666666666666667,146.83333333333334,0.5,0.3295214908202927,0.10941244273197263,0.18585474823002282,0.4285714285714286,17.048069710767198,0.7142857142857143
training_2004_2017,2007,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,1,0.0,140.0,0.0,-0.040685987529630374,0.07167727039864491,,,,
training_2004_2017,2007,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,11,-2.0,139.8181818181818,0.36363636363636365,-0.05589443960899588,0.11861290161543242,0.02605350688785277,0.14545454545454548,-9.350626217398787,-0.44545454545454555
training_2004_2017,2007,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,22,-0.6818181818181818,137.6818181818182,0.4090909090909091,-0.24502694943193506,0.13069409077211222,0.050797399892526296,0.259175607001694,3.2251452109250764,0.23283421759236678
training_2004_2017,2007,fbs-fcs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,1,-2.0,150.0,0.0,-0.2479900651965333,0.16373227598925044,,,,
training_2004_2017,2007,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,31,7.870967741935484,135.74193548387098,0.6774193548387096,0.07613503590719843,0.12738893123252745,-0.04337692149032297,-0.15967741935483873,4.259938367590272,0.11357678093722458
training_2004_2017,2008,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,163,-1.5337423312883436,137.04294478527606,0.4171779141104294,-0.12119260060522792,-0.02168504700809948,0.020652530161038705,0.09911425218536923,2.9616767578369076,0.10042298261144912
training_2004_2017,2008,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,75,-1.2933333333333332,133.42666666666668,0.48,0.026397371596034943,-0.046438472519999587,0.02399795894223911,0.10691322901849218,1.4611636554897682,0.016774561099093678
training_2004_2017,2008,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,205,0.775609756097561,135.0878048780488,0.5073170731707317,0.028834006538121574,0.017539459424879843,-0.014539159346580757,-0.04989763685477481,-2.725790120452053,-0.0912063557397973
training_2004_2017,2008,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,116,2.4827586206896552,134.43103448275863,0.5603448275862069,-0.02026663767202974,0.03794915710023982,0.014976021381494854,0.07252939887517348,4.4786708519152025,0.14215296384260218
training_2004_2017,2008,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,58,-4.396551724137931,135.77586206896552,0.46551724137931033,0.09918776236972406,-0.07092631825504306,0.05377162602370929,0.2419330031683534,-7.518586081812706,-0.281749521181847
training_2004_2017,2008,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,100,8.71,133.75,0.69,0.15670298593753829,0.0654224555781385,0.00587867389139919,-0.007110732405469764,4.056950842888752,0.12936276324301924
training_2004_2017,2008,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,1,-4.0,140.0,0.0,0.06990251276957349,0.07291925576536551,,,,
training_2004_2017,2008,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,1,11.0,121.0,1.0,0.853361714659384,0.08592962509595825,,,,
training_2004_2017,2008,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,15,-5.466666666666667,129.6,0.26666666666666666,-0.3340839754248337,0.07587552424955274,0.015816740533217816,0.06428571428571428,2.0105105528229426,0.05714285714285713
training_2004_2017,2008,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,30,3.7333333333333334,133.73333333333332,0.5333333333333333,-0.009478566946653258,0.11425678245698342,-0.04086253153955616,-0.217797552836485,-0.4284893710342464,-0.045424199714090584
training_2004_2017,2008,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,37,10.432432432432432,130.86486486486487,0.6756756756756757,0.11725710397753035,0.1524708624175613,-0.025455946657440352,-0.0820293978188715,-6.546124199449882,-0.20017790043290803
training_2004_2017,2009,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,165,-2.187878787878788,135.78787878787878,0.43636363636363634,-0.1562820872796462,-0.027833427245776542,-0.0015180244008131522,0.004767190403111675,-2.539994659532364,-0.09351792004942899
training_2004_2017,2009,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,87,-1.7701149425287357,134.55172413793105,0.42528735632183906,-2.077825439811276e-05,-0.051387487197420256,-0.019515314341396948,-0.10540800379202782,-3.445761425599282,-0.11919899281299949
training_2004_2017,2009,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,220,-0.004545454545454545,136.73181818181817,0.5227272727272727,0.012968296867500735,0.019873844958076918,-0.019832743689859756,-0.06243502162988297,1.7481458490445443,0.06696000538742423
training_2004_2017,2009,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,134,3.08955223880597,135.0,0.5895522388059702,0.031822105263054914,0.04178982352695971,-0.008582373065253866,-0.04419755857304954,-1.287447711647954,-0.013644113478880648
training_2004_2017,2009,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,37,-8.162162162162161,133.45945945945945,0.16216216216216217,-0.197189668749629,-0.0737236355855836,0.05391072100241368,0.21384542437174014,-0.7832372775114912,-0.047432707851410426
training_2004_2017,2009,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,71,8.056338028169014,133.40845070422534,0.704225352112676,0.10022640527521781,0.06875450802243323,0.04730145196826763,0.1442655935613682,-4.92932030071841,-0.15381003549120129
training_2004_2017,2009,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,4,-7.75,138.25,0.25,-0.5259935434565941,0.12513394218429472,0.03984895415625657,0.39999999999999997,31.792224259733594,0.7999999999999999
training_2004_2017,2009,fbs-fcs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,1,21.0,131.0,1.0,1.413092775914607,0.11156447164729899,,,,
training_2004_2017,2009,fbs-fcs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,19,-1.631578947368421,132.89473684210526,0.47368421052631576,0.05234964865107809,0.08639687599558309,-0.004079261434983949,-0.04035087719298246,-12.872364649126121,-0.5630220082091342
training_2004_2017,2009,fbs-fcs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,20,0.9,130.9,0.4,-0.18230037511214756,0.11740152066172085,0.0834500973592067,0.24511278195488717,5.494160799886104,0.16240601503759397
training_2004_2017,2009,fbs-fcs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,50,11.32,126.72,0.76,0.23840480188684304,0.15541821227376176,-0.06986527434741299,-0.19932773109243698,-8.342607340853585,-0.1961622585801017
training_2004_2017,2010,fbs-fbs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,155,-0.1032258064516129,138.54193548387096,0.5290322580645161,0.0032208114377416147,-0.02158370163896805,0.00237982419898083,0.0018803792017498303,-2.544149541440879,-0.12052127662960062
training_2004_2017,2010,fbs-fbs,"(-28,-14]",home/neutral included as a model covariate,plays_total included as a model covariate,100,-2.78,136.54,0.35,-0.13117542852851666,-0.04510308559564538,0.044735557061523934,0.18401495354104289,0.4465077213983996,0.015652664782701168
training_2004_2017,2010,fbs-fbs,"(0,14]",home/neutral included as a model covariate,plays_total included as a model covariate,191,0.2356020942408377,138.717277486911,0.5078534031413613,0.026095102159351843,0.018587722718939464,-0.01006499886525785,-0.04134493089085396,-2.1885845214509825,-0.07096588107779735
training_2004_2017,2010,fbs-fbs,"(14,28]",home/neutral included as a model covariate,plays_total included as a model covariate,127,1.2283464566929134,135.1968503937008,0.5433070866141733,-0.08901890699418184,0.0408398425436651,-0.03200051239342379,-0.1399077261076529,-2.202361052506448,-0.06354675329092381
training_2004_2017,2010,fbs-fbs,<=-28,home/neutral included as a model covariate,plays_total included as a model covariate,56,-4.607142857142857,134.82142857142858,0.3392857142857143,0.08588211833633341,-0.0686325577283821,0.02564652123414479,0.14251537935748462,9.26794793461609,0.25291876686483944
training_2004_2017,2010,fbs-fbs,>28,home/neutral included as a model covariate,plays_total included as a model covariate,89,8.292134831460674,134.1123595505618,0.651685393258427,0.12423974803597582,0.06595355164032796,0.05140043454040538,0.19538644875723532,3.1890068440088752,0.11123409217103312
training_2004_2017,2010,fbs-fcs,"(-14,0]",home/neutral included as a model covariate,plays_total included as a model covariate,7,2.5714285714285716,126.85714285714286,0.5714285714285714,0.37179125832797705,0.11267847764770865,0.02385816375209457,-0.03571428571428572,19.99742921913367,0.7748062179181807
