candidate,protocol,target_season,n_team_seasons,n_training_rows,n_training_seasons,same_population_keys,candidate_nll,c0_nll,minus_rp_nll,delta_vs_c0_nll,delta_vs_minus_rp_nll,candidate_crps,c0_crps,minus_rp_crps,delta_vs_c0_crps,delta_vs_minus_rp_crps,candidate_expected_rank_mae,c0_expected_rank_mae,minus_rp_expected_rank_mae,delta_vs_c0_expected_rank_mae,delta_vs_minus_rp_expected_rank_mae,candidate_median_rank_mae,c0_median_rank_mae,minus_rp_median_rank_mae,delta_vs_c0_median_rank_mae,delta_vs_minus_rp_median_rank_mae,candidate_interval_80_coverage,c0_interval_80_coverage,minus_rp_interval_80_coverage,delta_vs_c0_interval_80_coverage,delta_vs_minus_rp_interval_80_coverage,candidate_interval_80_average_width,c0_interval_80_average_width,minus_rp_interval_80_average_width,delta_vs_c0_interval_80_average_width,delta_vs_minus_rp_interval_80_average_width
C5_transfer_talent,development_through_2017,2020,127,1703,14,True,4.568434342384826,4.56839992928216,4.595814988614702,3.4413102666164264e-05,-0.027380646229875794,0.12309374565441118,0.12308934760021478,0.12694639635682511,4.3980541964000475e-06,-0.0038526507024139317,19.482990240641385,19.482032420283947,20.452560488570924,0.0009578203574385213,-0.9695702479295392,20.81496062992126,20.81496062992126,21.85433070866142,0.0,-1.0393700787401592,0.791405208964264,0.791405208964264,0.7825923682616597,0.0,0.008812840702604352,70.81102362204724,70.80314960629921,71.53543307086615,0.007874015748029706,-0.7244094488189035
C5_transfer_talent,development_through_2017,2021,127,1703,14,True,4.495622686364646,4.500999519773778,4.497047950050639,-0.005376833409131976,-0.0014252636859932721,0.11275898559293807,0.1137774089230926,0.1132444155097646,-0.0010184233301545331,-0.0004854299168265408,20.17563050884068,20.290073908228045,20.406138212196847,-0.11444339938736547,-0.23050770335616733,20.763779527559056,21.062992125984252,20.716535433070867,-0.2992125984251963,0.04724409448818889,0.849015748031496,0.8456692913385826,0.84251968503937,0.0033464566929134465,0.006496062992126017,74.48818897637796,74.07086614173228,74.92125984251969,0.4173228346456739,-0.4330708661417333
C6_minus_rp_transfer_talent,frozen_through_2021,2022,131,2216,18,True,4.559658812403193,4.46687895474135,4.48720539938238,0.09277985766184305,0.07245341302081343,0.11288645084639089,0.1070808440668973,0.10902949034623019,0.005805606779493586,0.003856960500160697,19.87051990677078,18.68027501528254,19.278842840120568,1.1902448914882413,0.5916770666502131,20.85496183206107,18.85496183206107,19.6793893129771,2.0,1.1755725190839676,0.805757380667709,0.8258070449737882,0.8325209233882093,-0.02004966430607924,-0.0267635427205003,71.3969465648855,72.09923664122137,73.74809160305344,-0.7022900763358706,-2.3511450381679424
C6_minus_rp_transfer_talent,frozen_through_2021,2023,133,2216,18,True,4.760749743963308,4.4722065703866205,4.504689577465013,0.2885431735766879,0.25606016649829577,0.13255682016332349,0.10443224457695163,0.10780686300016434,0.028124575586371853,0.024749957163159142,23.383230779659474,19.27912267013667,20.10270741488041,4.104108109522805,3.2805233647790644,24.477443609022558,19.545112781954888,20.409774436090224,4.93233082706767,4.067669172932334,0.7415159520422677,0.8669985775248933,0.8614102824629141,-0.12548262548262556,-0.11989433042064634,65.84962406015038,72.1203007518797,74.6842105263158,-6.270676691729321,-8.834586466165419
C6_minus_rp_transfer_talent,frozen_through_2021,2024,134,2216,18,True,4.816566292639378,4.584023541620271,4.553894876236028,0.23254275101910782,0.2626714164033501,0.13565410313101134,0.11828325718207185,0.11602782529408148,0.017370845948939492,0.019626277836929856,23.856706204111127,21.017995994307483,20.761751998430476,2.8387102098036436,3.0949542056806507,25.074626865671643,21.708955223880597,20.925373134328357,3.365671641791046,4.149253731343286,0.7363305096140917,0.8045771144278607,0.8151243781094528,-0.06824660481376899,-0.07879386849536107,67.57462686567165,70.8731343283582,73.32835820895522,-3.2985074626865583,-5.753731343283576
C6_minus_rp_transfer_talent,frozen_through_2021,2025,136,2216,18,True,4.957728362036498,4.642490544301942,4.569114909895332,0.3152378177345563,0.3886134521411657,0.15086716441886983,0.11772472513966825,0.11152290371307706,0.033142439279201574,0.03934426070579276,26.97636233926419,21.61321294045643,20.731580594769188,5.3631493988077565,6.2447817444950005,28.801470588235293,22.198529411764707,20.88235294117647,6.602941176470587,7.9191176470588225,0.6866438356164383,0.8031829170024174,0.8265511684125704,-0.11653908138597913,-0.1399073327961321,67.75,72.58088235294117,76.58088235294117,-4.830882352941174,-8.830882352941174
C6_minus_rp_transfer_talent,development_through_2017,2018,129,1703,14,True,4.45996221802414,4.43859426526967,4.459946838910857,0.021367952754469677,1.537911328330921e-05,0.1069531901090807,0.10559534436422642,0.10695260810626545,0.0013578457448542858,5.820028152608847e-07,18.8457432779651,18.41534639864679,18.845883609140852,0.43039687931830883,-0.0001403311757535164,19.124031007751938,18.914728682170544,19.13953488372093,0.20930232558139394,-0.015503875968992276,0.8447376267143708,0.8529367918902803,0.8447376267143708,-0.008199165175909462,0.0,71.44186046511628,69.69767441860465,71.44186046511628,1.7441860465116292,0.0
C6_minus_rp_transfer_talent,development_through_2017,2019,130,1703,14,True,4.470350012513149,4.4280347082085045,4.470340822962781,0.04231530430464403,9.189550367771915e-06,0.11275803610305743,0.1062089046127766,0.11275738693953084,0.0065491314902808295,6.491635265865048e-07,19.887117359141232,18.231054106651438,19.886998814209164,1.656063252489794,0.00011854493206797656,20.334615384615386,18.81153846153846,20.342307692307692,1.5230769230769248,-0.007692307692305889,0.836734693877551,0.8507064364207222,0.836734693877551,-0.01397174254317124,0.0,72.36923076923077,70.31538461538462,72.36923076923077,2.053846153846152,0.0
C6_minus_rp_transfer_talent,development_through_2017,2020,127,1703,14,True,4.595849882391511,4.56839992928216,4.595814988614702,0.027449953109351277,3.489377680931938e-05,0.12695072209262134,0.12308934760021478,0.12694639635682511,0.0038613744924065607,4.325735796228969e-06,20.45368862136627,19.482032420283947,20.452560488570924,0.9716562010823218,0.0011281327953440723,21.85433070866142,20.81496062992126,21.85433070866142,1.0393700787401592,0.0,0.7825923682616597,0.791405208964264,0.7825923682616597,-0.008812840702604352,0.0,71.5275590551181,70.80314960629921,71.53543307086615,0.7244094488188892,-0.007874015748043917
C6_minus_rp_transfer_talent,development_through_2017,2021,127,1703,14,True,4.497702947351712,4.500999519773778,4.497047950050639,-0.0032965724220659354,0.0006549973010727683,0.11339206065225405,0.1137774089230926,0.1132444155097646,-0.0003853482708385536,0.00014764514248943872,20.557967201347587,20.290073908228045,20.406138212196847,0.2678932931195419,0.15182898915074006,20.88976377952756,21.062992125984252,20.716535433070867,-0.1732283464566926,0.1732283464566926,0.8407480314960629,0.8456692913385826,0.84251968503937,-0.004921259842519676,-0.0017716535433071057,75.05511811023622,74.07086614173228,74.92125984251969,0.9842519685039406,0.13385826771653342
