season,field,raw_name,normalized_name,team_id,canonical_name,match_method,record_count
2022,destination,South Dakota,south dakota,,,not_in_fbs_population_or_unrecognized,3
2022,destination,South Dakota State,south dakota state,,,not_in_fbs_population_or_unrecognized,1
2022,destination,South Florida,south florida,58,South Florida,exact_normalized_name,16
2022,destination,Southern,southern,,,not_in_fbs_population_or_unrecognized,2
2022,destination,Southern Arkansas,southern arkansas,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Southern Illinois,southern illinois,,,not_in_fbs_population_or_unrecognized,6
2022,destination,Southern Miss,southern miss,2572,Southern Miss,exact_normalized_name,11
2022,destination,Southern Utah,southern utah,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Southwest Minnesota State,southwest minnesota state,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Southwest Mississippi C.C.,southwest mississippi c c,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Southwestern Oklahoma State,southwestern oklahoma state,,,not_in_fbs_population_or_unrecognized,1
2022,destination,St. Thomas University,st thomas university,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Stanford,stanford,24,Stanford,exact_normalized_name,1
2022,destination,Stephen F. Austin,stephen f austin,,,not_in_fbs_population_or_unrecognized,2
2022,destination,Stetson,stetson,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Stony Brook,stony brook,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Syracuse,syracuse,183,Syracuse,exact_normalized_name,9
2022,destination,TCU,tcu,2628,TCU,exact_normalized_name,14
2022,destination,Tarleton State,tarleton state,,,not_in_fbs_population_or_unrecognized,2
2022,destination,Temple,temple,218,Temple,exact_normalized_name,12
2022,destination,Tennessee,tennessee,2633,Tennessee,exact_normalized_name,8
2022,destination,Tennessee State,tennessee state,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Tennessee Tech,tennessee tech,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Texas,texas,251,Texas,exact_normalized_name,7
2022,destination,Texas A&M,texas aandm,245,Texas A&M,exact_normalized_name,2
2022,destination,Texas State,texas state,326,Texas State,exact_normalized_name,15
2022,destination,Texas Tech,texas tech,2641,Texas Tech,exact_normalized_name,14
2022,destination,The Citadel,the citadel,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Tiffin University,tiffin university,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Toledo,toledo,2649,Toledo,exact_normalized_name,7
2022,destination,Towson,towson,,,not_in_fbs_population_or_unrecognized,3
2022,destination,Trinity Valley C.C.,trinity valley c c,,,not_in_fbs_population_or_unrecognized,3
2022,destination,Troy,troy,2653,Troy,exact_normalized_name,5
2022,destination,Tulane,tulane,2655,Tulane,exact_normalized_name,9
2022,destination,Tulsa,tulsa,202,Tulsa,exact_normalized_name,7
2022,destination,Tuskegee,tuskegee,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Tyler J.C.,tyler j c,,,not_in_fbs_population_or_unrecognized,1
2022,destination,UAB,uab,5,UAB,exact_normalized_name,2
2022,destination,UAlbany,ualbany,,,not_in_fbs_population_or_unrecognized,3
2022,destination,UC Davis,uc davis,,,not_in_fbs_population_or_unrecognized,1
2022,destination,UCF,ucf,2116,UCF,exact_normalized_name,14
2022,destination,UCLA,ucla,26,UCLA,exact_normalized_name,13
2022,destination,UConn,uconn,41,UConn,exact_normalized_name,9
2022,destination,UL Monroe,ul monroe,2433,UL Monroe,exact_normalized_name,7
2022,destination,UNLV,unlv,2439,UNLV,exact_normalized_name,8
2022,destination,USC,usc,30,USC,exact_normalized_name,20
2022,destination,UT Martin,ut martin,,,not_in_fbs_population_or_unrecognized,4
2022,destination,UTEP,utep,2638,UTEP,exact_normalized_name,1
2022,destination,UTSA,utsa,2636,UTSA,exact_normalized_name,9
2022,destination,Utah,utah,254,Utah,exact_normalized_name,5
2022,destination,Utah State,utah state,328,Utah State,exact_normalized_name,8
2022,destination,Utah Tech,utah tech,,,not_in_fbs_population_or_unrecognized,2
2022,destination,Valdosta State,valdosta state,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Vanderbilt,vanderbilt,238,Vanderbilt,exact_normalized_name,6
2022,destination,Villanova,villanova,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Virginia,virginia,258,Virginia,exact_normalized_name,10
2022,destination,Virginia Tech,virginia tech,259,Virginia Tech,exact_normalized_name,5
2022,destination,Wagner,wagner,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Wake Forest,wake forest,154,Wake Forest,exact_normalized_name,4
2022,destination,Washington,washington,264,Washington,exact_normalized_name,9
2022,destination,Washington State,washington state,265,Washington State,exact_normalized_name,9
2022,destination,West Florida,west florida,,,not_in_fbs_population_or_unrecognized,1
2022,destination,West Virginia,west virginia,277,West Virginia,exact_normalized_name,11
2022,destination,Western Carolina,western carolina,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Western Illinois,western illinois,,,not_in_fbs_population_or_unrecognized,3
2022,destination,Western Kentucky,western kentucky,98,Western Kentucky,exact_normalized_name,14
2022,destination,Western Michigan,western michigan,2711,Western Michigan,exact_normalized_name,5
2022,destination,Western New Mexico,western new mexico,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Winston-Salem State,winston salem state,,,not_in_fbs_population_or_unrecognized,1
2022,destination,Wisconsin,wisconsin,275,Wisconsin,exact_normalized_name,6
2022,destination,Wyoming,wyoming,2751,Wyoming,exact_normalized_name,3
2022,destination,Youngstown State,youngstown state,,,not_in_fbs_population_or_unrecognized,1
2022,origin,Abilene Christian,abilene christian,,,not_in_fbs_population_or_unrecognized,4
2022,origin,Air Force,air force,2005,Air Force,exact_normalized_name,9
2022,origin,Akron,akron,2006,Akron,exact_normalized_name,10
2022,origin,Alabama,alabama,333,Alabama,exact_normalized_name,24
2022,origin,Alabama A&M,alabama aandm,,,not_in_fbs_population_or_unrecognized,1
2022,origin,App State,app state,2026,App State,exact_normalized_name,10
2022,origin,Arizona,arizona,12,Arizona,exact_normalized_name,27
2022,origin,Arizona State,arizona state,9,Arizona State,exact_normalized_name,21
2022,origin,Arkansas,arkansas,8,Arkansas,exact_normalized_name,22
2022,origin,Arkansas State,arkansas state,2032,Arkansas State,exact_normalized_name,25
2022,origin,Army,army,349,Army,exact_normalized_name,6
2022,origin,Auburn,auburn,2,Auburn,exact_normalized_name,24
2022,origin,Austin Peay,austin peay,,,not_in_fbs_population_or_unrecognized,2
2022,origin,BYU,byu,252,BYU,exact_normalized_name,10
2022,origin,Ball State,ball state,2050,Ball State,exact_normalized_name,10
2022,origin,Baylor,baylor,239,Baylor,exact_normalized_name,8
