variant,kind,target_season,n_team_seasons,nll,delta_vs_E0_nll,crps,delta_vs_E0_crps,expected_rank_mae,delta_vs_E0_expected_rank_mae,median_rank_mae,delta_vs_E0_median_rank_mae,interval_80_coverage,delta_vs_E0_interval_80_coverage,interval_80_average_width,delta_vs_E0_interval_80_average_width
E4P_experience_within_season_permutation,permutation_control,2024,134,4.584062527338206,3.898571793570227e-05,0.11832582875374029,4.2571571668439945e-05,20.935743037617886,-0.08225295668959731,21.582089552238806,-0.12686567164179152,0.8045771144278607,0.0,71.26119402985074,0.3880597014925371
E4P_experience_within_season_permutation,permutation_control,2025,136,4.625885442063482,-0.01660510223845968,0.11574938544130114,-0.0019753396983671068,21.373907953713296,-0.23930498674313583,21.955882352941178,-0.242647058823529,0.8061039484286865,0.002921031426269094,73.61764705882354,1.0367647058823621
E5P_impact_within_season_permutation,permutation_control,2022,131,4.467933090823096,0.0010541360817457601,0.10705517188522296,-2.5672181674346595e-05,18.726278255338563,0.04600324005602374,18.87786259541985,0.02290076335878055,0.8315092430791869,0.005702198105398737,72.09923664122137,0.0
E5P_impact_within_season_permutation,permutation_control,2023,133,4.4731811779259925,0.0009746075393719522,0.10422772322650549,-0.0002045213504461435,19.241872249172182,-0.03725042096448661,19.462406015037594,-0.08270676691729406,0.8708595813858971,0.0038610038610038533,72.45864661654136,0.3383458646616617
E5P_impact_within_season_permutation,permutation_control,2024,134,4.5839340715922114,-8.94700280591465e-05,0.11830469547840368,2.1438296331832696e-05,20.922626790790957,-0.09536920351652611,21.574626865671643,-0.13432835820895406,0.8044776119402984,-9.95024875622974e-05,71.26865671641791,0.3955223880597032
E5P_impact_within_season_permutation,permutation_control,2025,136,4.626583259067879,-0.015907285234062485,0.11584400533370781,-0.0018807198059604402,21.37935131633012,-0.2338616241263125,21.96323529411765,-0.235294117647058,0.806204673650282,0.0030217566478646374,73.68382352941177,1.102941176470594
E6P_defense_within_season_permutation,permutation_control,2022,131,4.468046691853024,0.0011677371116736168,0.10709591823926323,1.5074172365930893e-05,18.73003309924033,0.04975808395779069,18.908396946564885,0.05343511450381655,0.8315092430791869,0.005702198105398737,72.08396946564885,-0.015267175572518
E6P_defense_within_season_permutation,permutation_control,2023,133,4.473183663157067,0.0009770927704462196,0.10423484211160462,-0.00019740246534701023,19.246099117019746,-0.033023553116922955,19.462406015037594,-0.08270676691729406,0.871164397480187,0.004165819955293748,72.48872180451127,0.3684210526315752
E6P_defense_within_season_permutation,permutation_control,2024,134,4.583839031607461,-0.00018451001280972434,0.11828718224270714,3.925060635290301e-06,20.93286487835819,-0.08513111594929512,21.567164179104477,-0.14179104477612015,0.8050746268656717,0.0004975124378109319,71.25373134328358,0.380597014925371
E6P_defense_within_season_permutation,permutation_control,2025,136,4.625502871336046,-0.01698767296589576,0.11571981342831845,-0.0020049117113497966,21.358129055237004,-0.2550838852194275,21.948529411764707,-0.25,0.8060032232070911,0.0028203062046736616,73.61029411764706,1.029411764705884
