bin,control,correlation,early_defense_mean,early_offense_mean,kind,lag,late_defense_mean,late_offense_mean,n_games,n_pairs,period,relation,scale,season,slope,team_id
,,,-8.263218397825712,-4.5616622197989445,early_late,,-5.4405116522162755,6.112896377662345,12,,training,,,2008,,2142
,,,-5.528390237034501,2.6083511261774524,early_late,,5.651346916151399,6.015866057141131,9,,training,,,2008,,2166
,,,6.385736099650488,-4.027522537137557,early_late,,4.01092332347758,-2.120853831828985,11,,training,,,2008,,2168
,,,6.887356026510065,-4.757854737310096,early_late,,5.141040337831047,-5.972218298957,11,,training,,,2008,,2169
,,,12.364519164237613,-6.96998375973899,early_late,,-0.6639154480172363,0.668248294672825,12,,training,,,2008,,218
,,,4.0241371276710645,-9.839121509116982,early_late,,7.829911474009448,-4.405569385000822,9,,training,,,2008,,2181
,,,0.4197084273999529,3.806449790611905,early_late,,3.644802847929527,-7.590678011080743,10,,training,,,2008,,2184
,,,7.670004367145308,-10.543254269642738,early_late,,9.672205523208314,-7.141053113579733,10,,training,,,2008,,219
,,,6.363585688273986,0.6970735064324171,early_late,,3.3828874843601575,-3.730371152427889,12,,training,,,2008,,2197
,,,2.0034279502157157,-12.145358797412195,early_late,,1.7659800216644193,-0.5509823188273314,12,,training,,,2008,,2198
,,,-0.21035592370406242,-2.756833794564892,early_late,,-4.137700417585071,9.861129991771657,12,,training,,,2008,,2199
,,,0.6048675084106604,-5.562968748899279,early_late,,3.7432862154001927,-3.980511546151699,13,,training,,,2008,,221
,,,4.618107026915773,1.1715150567943937,early_late,,-1.925127277629351,-5.205052581084064,12,,training,,,2008,,2210
,,,0.9425853323203087,0.636033256338834,early_late,,-0.32885396707378217,-3.9606311223803474,12,,training,,,2008,,222
,,,0.7734773950131407,-8.727692195630132,early_late,,-3.5379142543025623,1.3097165555741184,13,,training,,,2008,,2226
,,,7.061314823902502,-2.939854766740771,early_late,,-4.087391241565375,0.9114391677913533,12,,training,,,2008,,2229
,,,4.044507826081335,-1.213195255151156,early_late,,3.507470064202512,-4.513195979992944,11,,training,,,2008,,2230
,,,6.187022186417094,-4.858188577403064,early_late,,-0.5640495465182276,3.2226918166937253,10,,training,,,2008,,2241
,,,0.4047806131216355,-4.008478023666411,early_late,,4.729022151204825,-2.2842364855832202,10,,training,,,2008,,225
,,,3.2995027918068685,0.4640219327965987,early_late,,-0.4003536524807245,-4.180278955935437,11,,training,,,2008,,2261
,,,3.7713859790887843,0.261130199403605,early_late,,-4.037915173265283,-3.503025661905182,12,,training,,,2008,,227
,,,2.0500613056982053,-1.2935278073203076,early_late,,1.3536726723755959,1.3330066281801407,12,,training,,,2008,,2275
,,,8.319399394112907,-5.698786289692201,early_late,,9.07563409759105,-3.64816366396084,13,,training,,,2008,,228
,,,5.282015211631891,6.036804447811732,early_late,,-6.683324799962964,5.6848980447304704,11,,training,,,2008,,2287
,,,9.636769075649717,-9.07637546187778,early_late,,8.190347827415433,1.3236929230064003,13,,training,,,2008,,2294
,,,5.773396502146673,-5.662084356863597,early_late,,3.264542737702777,-3.7931603435297148,10,,training,,,2008,,2296
,,,10.585971481869095,-8.127173055658401,early_late,,2.6634666753144103,-9.337702915328864,12,,training,,,2008,,23
,,,0.9384292559055917,-2.4413819482885706,early_late,,-7.923135157200264,7.130438910339225,13,,training,,,2008,,2305
,,,-4.217782933400486,13.235739195738686,early_late,,-8.547845298176256,4.284318444513805,12,,training,,,2008,,2306
,,,0.07320823880917793,-3.4732696320516516,early_late,,-1.2030599380996385,5.795770471257089,12,,training,,,2008,,2309
,,,5.5494608806525365,-2.2957498831676224,early_late,,1.1297249536482272,-5.483533683139818,11,,training,,,2008,,231
,,,5.585758184543912,-5.827500452244134,early_late,,3.353799663045826,3.7405410262577803,11,,training,,,2008,,2329
,,,-3.5791790815396176,-2.3924377183276633,early_late,,5.337923454061423,0.5246648172733763,10,,training,,,2008,,2335
,,,2.0784711224411994,-8.46800674841963,early_late,,0.9793749081991194,-3.601565710495629,13,,training,,,2008,,2348
,,,2.2889593564256496,0.7424814855648201,early_late,,-0.8947604327286827,-2.047129622852002,13,,training,,,2008,,235
,,,-0.7173985030490855,-0.19456139390135832,early_late,,-1.2599858747736163,-5.539911178228329,11,,training,,,2008,,236
