season,cutoff,season_phase,team_id,team_name,games_played,games_played_bucket,performance_expected_rank,predictive_expected_rank,performance_minus_predictive_expected_rank,performance_median_rank,predictive_median_rank,performance_minus_predictive_median_rank,performance_interval_80_width,predictive_interval_80_width,pmf_tv,rated
2026,2026-09-06T17:34:56.895103+00:00,current,130,Michigan,1,1-3,68.00140420153917,28.203514591574727,39.79788960996444,68,22,46,95,53,0.5110664509753667,True
2026,2026-09-06T17:34:56.895103+00:00,current,135,Minnesota,1,1-3,41.66088619336431,33.855340063438646,7.805546129925666,35,28,7,83,61,0.16779452855266475,True
2026,2026-09-06T17:34:56.895103+00:00,current,142,Missouri,1,1-3,58.659510573764734,36.956776917842376,21.70273365592236,55,31,24,99,66,0.28716975402733635,True
2026,2026-09-06T17:34:56.895103+00:00,current,145,Ole Miss,0,0,69.50000000000001,24.505900677880504,44.99409932211951,70,17,53,111,52,0.5190883111998669,False
2026,2026-09-06T17:34:56.895103+00:00,current,150,Duke,1,1-3,53.08929000108376,52.897549171815626,0.1917408292681344,49,49,0,91,78,0.09794985194773659,True
2026,2026-09-06T17:34:56.895103+00:00,current,151,East Carolina,1,1-3,94.41497515032515,91.52898577985722,2.885989370467925,101,97,4,87,77,0.11565859529437471,True
2026,2026-09-06T17:34:56.895103+00:00,current,152,NC State,1,1-3,95.46038405850504,65.09842247682168,30.36196158168336,102,64,38,84,82,0.384178725431807,True
2026,2026-09-06T17:34:56.895103+00:00,current,153,North Carolina,1,1-3,53.68355025796314,60.28997856803451,-6.606428310071372,50,58,-8,90,80,0.1288387508556466,True
2026,2026-09-06T17:34:56.895103+00:00,current,154,Wake Forest,1,1-3,56.146761731840165,57.671816863078654,-1.5250551312384886,53,55,-2,93,80,0.10816567599106362,True
2026,2026-09-06T17:34:56.895103+00:00,current,158,Nebraska,1,1-3,41.67857259063065,36.92750811037455,4.7510644802560975,35,31,4,82,63,0.14695776840630598,True
2026,2026-09-06T17:34:56.895103+00:00,current,164,Rutgers,1,1-3,117.21506750226179,97.38348155924363,19.831585943018155,127,105,22,56,76,0.3677585758988633,True
2026,2026-09-06T17:34:56.895103+00:00,current,166,New Mexico State,2,1-3,78.63972864602164,111.6715041247141,-33.03177547869247,81,117,-36,88,53,0.4579921120558277,True
2026,2026-09-06T17:34:56.895103+00:00,current,167,New Mexico,1,1-3,42.02132848932467,63.096085665995396,-21.07475717667073,35,62,-27,83,83,0.2851214970806268,True
2026,2026-09-06T17:34:56.895103+00:00,current,183,Syracuse,1,1-3,40.7686395974928,58.14650473962323,-17.37786514213043,34,56,-22,83,84,0.24981462780980346,True
2026,2026-09-06T17:34:56.895103+00:00,current,189,Bowling Green,1,1-3,104.91703890904533,120.09125050726408,-15.174211598218747,113,125,-12,72,37,0.27320568192610173,True
2026,2026-09-06T17:34:56.895103+00:00,current,193,Miami (OH),1,1-3,109.00977117055291,110.07661873551494,-1.066847564962032,118,116,2,66,54,0.13888197257673512,True
